VWL(V),VBL(V),Current(uA),Mode,WL,BL,VSL(V)
4.50,1.00,4.235595878356934,RESET_SWEEP,121,5,1.00
4.50,1.05,4.006408866638185,RESET_SWEEP,121,5,1.05
4.50,1.10,4.374450858825684,RESET_SWEEP,121,5,1.10
4.50,1.15,3.296875175231934,RESET_SWEEP,121,5,1.15
4.50,1.20,4.339965995544434,RESET_SWEEP,121,5,1.20
4.50,1.25,4.932617362731934,RESET_SWEEP,121,5,1.25
4.50,1.30,4.224914726013185,RESET_SWEEP,121,5,1.30
4.50,1.35,3.507446464294434,RESET_SWEEP,121,5,1.35
4.50,1.40,4.658874686950684,RESET_SWEEP,121,5,1.40
4.50,1.45,4.717163261169434,RESET_SWEEP,121,5,1.45
4.50,1.50,4.070495780700684,RESET_SWEEP,121,5,1.50
4.50,1.55,4.754394706481935,RESET_SWEEP,121,5,1.55
4.50,1.60,4.654602226013184,RESET_SWEEP,121,5,1.60
4.50,1.65,5.246948417419434,RESET_SWEEP,121,5,1.65
4.50,1.70,4.443115409606934,RESET_SWEEP,121,5,1.70
4.50,1.75,3.792785819763184,RESET_SWEEP,121,5,1.75
4.50,1.80,3.0383912885131834,RESET_SWEEP,121,5,1.80
4.50,1.85,3.266052421325684,RESET_SWEEP,121,5,1.85
4.50,1.90,2.6657716596069334,RESET_SWEEP,121,5,1.90
4.50,1.95,2.613891776794434,RESET_SWEEP,121,5,1.95
4.50,2.00,1.4942018353881836,RESET_SWEEP,121,5,2.00
4.50,2.05,1.4404908978881836,RESET_SWEEP,121,5,2.05
4.50,2.10,-0.20727521539306643,RESET_SWEEP,121,5,2.10
4.50,2.10,-0.20727521539306643,RESET_PASSED,121,5,2.10
1.60,3.00,-0.1965940630493164,RESET_SWEEP,121,5,0.00
1.60,3.50,-0.1978147661743164,RESET_SWEEP,121,5,0.00
1.60,4.00,-0.1718748247680664,RESET_SWEEP,121,5,0.00
1.60,4.50,-0.2203977739868164,RESET_SWEEP,121,5,0.00
1.70,3.00,-0.2539671099243164,RESET_SWEEP,121,5,0.00
1.70,3.50,-0.22558576226806643,RESET_SWEEP,121,5,0.00
1.70,4.00,-0.2606809771118164,RESET_SWEEP,121,5,0.00
1.70,4.50,-0.2677000200805664,RESET_SWEEP,121,5,0.00
1.80,3.00,-0.2619016802368164,RESET_SWEEP,121,5,0.00
1.80,3.50,-0.2322996294555664,RESET_SWEEP,121,5,0.00
1.80,4.00,-0.24938947320556643,RESET_SWEEP,121,5,0.00
1.80,4.50,-0.19293195367431643,RESET_SWEEP,121,5,0.00
1.90,3.00,-0.19567853570556643,RESET_SWEEP,121,5,0.00
1.90,3.50,-0.2249754107055664,RESET_SWEEP,121,5,0.00
1.90,4.00,-0.2030027544555664,RESET_SWEEP,121,5,0.00
1.90,4.50,-0.22863752008056643,RESET_SWEEP,121,5,0.00
2.00,3.00,-0.042480293518066405,RESET_SWEEP,121,5,0.00
2.00,3.50,-0.06262189508056641,RESET_SWEEP,121,5,0.00
2.00,4.00,0.1804200971069336,RESET_SWEEP,121,5,0.00
2.00,4.50,-0.14166242242431643,RESET_SWEEP,121,5,0.00
2.10,3.00,2.1008912885131834,RESET_SWEEP,121,5,0.00
2.10,3.00,2.1008912885131834,RESET_PASSED,121,5,0.00
4.50,1.00,1.3748781049194339,RESET_SWEEP,121,5,1.00
4.50,1.05,1.9797365033569336,RESET_SWEEP,121,5,1.05
4.50,1.10,2.3187867963256834,RESET_SWEEP,121,5,1.10
4.50,1.15,2.019714530700684,RESET_SWEEP,121,5,1.15
4.50,1.20,1.9669191205444336,RESET_SWEEP,121,5,1.20
