VWL(V),VBL(V),Current(uA),Mode,WL,BL,VSL(V),DeviceID
1.6,3,0.3488771283569336,SET_SWEEP,121,5,0,121_5
1.6,3.5,0.34552019476318363,SET_SWEEP,121,5,0,121_5
1.6,4,0.3787843549194336,SET_SWEEP,121,5,0,121_5
1.6,4.5,0.37023943304443363,SET_SWEEP,121,5,0,121_5
1.7,3,0.3464357221069336,SET_SWEEP,121,5,0,121_5
1.7,3.5,0.3821412885131836,SET_SWEEP,121,5,0,121_5
1.7,4,0.39221208929443363,SET_SWEEP,121,5,0,121_5
1.7,4.5,0.41174333929443363,SET_SWEEP,121,5,0,121_5
1.8,3,0.4450074994506836,SET_SWEEP,121,5,0,121_5
1.8,3.5,0.4160158002319336,SET_SWEEP,121,5,0,121_5
1.8,4,0.3690187299194336,SET_SWEEP,121,5,0,121_5
1.8,4.5,0.3275148236694336,SET_SWEEP,121,5,0,121_5
1.9,3,0.49932878851318363,SET_SWEEP,121,5,0,121_5
1.9,3.5,0.3656617963256836,SET_SWEEP,121,5,0,121_5
1.9,4,0.3867189252319336,SET_SWEEP,121,5,0,121_5
1.9,4.5,0.3607789838256836,SET_SWEEP,121,5,0,121_5
2,3,0.3525392377319336,SET_SWEEP,121,5,0,121_5
2,3.5,0.38305681585693363,SET_SWEEP,121,5,0,121_5
2,4,0.3772584760131836,SET_SWEEP,121,5,0,121_5
2,4.5,0.38977068304443363,SET_SWEEP,121,5,0,121_5
2.1,3,1.5854493939819336,SET_SWEEP,121,5,0,121_5
2.1,3.5,1.6748658978881836,SET_SWEEP,121,5,0,121_5
2.1,4,1.7371217572631836,SET_SWEEP,121,5,0,121_5
2.1,4.5,2.006591972106934,SET_SWEEP,121,5,0,121_5
2.2,3,4.352478202575684,SET_SWEEP,121,5,0,121_5
2.2,3.5,4.040283378356935,SET_SWEEP,121,5,0,121_5
2.2,4,5.040954765075684,SET_SWEEP,121,5,0,121_5
2.2,4,5.040954765075684,SET_PASSED,121,5,0,121_5
1.6,3,0.6912843549194336,SET_SWEEP,121,6,0,121_6
1.6,3.5,0.6677858197631836,SET_SWEEP,121,6,0,121_6
1.6,4,0.6851808392944336,SET_SWEEP,121,6,0,121_6
1.6,4.5,0.6992189252319336,SET_SWEEP,121,6,0,121_6
1.7,3,0.6870118939819336,SET_SWEEP,121,6,0,121_6
1.7,3.5,0.7153932416381837,SET_SWEEP,121,6,0,121_6
1.7,4,0.7059327924194336,SET_SWEEP,121,6,0,121_6
1.7,4.5,0.7123414838256837,SET_SWEEP,121,6,0,121_6
1.8,3,0.7272950971069336,SET_SWEEP,121,6,0,121_6
1.8,3.5,0.7013551557006836,SET_SWEEP,121,6,0,121_6
1.8,4,0.7129518353881837,SET_SWEEP,121,6,0,121_6
1.8,4.5,0.7129518353881837,SET_SWEEP,121,6,0,121_6
1.9,3,0.7178346478881837,SET_SWEEP,121,6,0,121_6
1.9,3.5,0.7492677533569337,SET_SWEEP,121,6,0,121_6
1.9,4,0.7199708783569336,SET_SWEEP,121,6,0,121_6
1.9,4.5,0.7666627728881836,SET_SWEEP,121,6,0,121_6
2,3,0.7172242963256836,SET_SWEEP,121,6,0,121_6
2,3.5,0.6976930463256836,SET_SWEEP,121,6,0,121_6
2,4,0.6900636517944336,SET_SWEEP,121,6,0,121_6
2,4.5,0.7327882611694336,SET_SWEEP,121,6,0,121_6
2.1,3,4.011596854919435,SET_SWEEP,121,6,0,121_6
2.1,3.5,2.7442018353881834,SET_SWEEP,121,6,0,121_6
2.1,4,3.4226075971069334,SET_SWEEP,121,6,0,121_6
2.1,4.5,3.506530936950684,SET_SWEEP,121,6,0,121_6
2.2,3,4.662231620544434,SET_SWEEP,121,6,0,121_6
2.2,3.5,4.655822929138184,SET_SWEEP,121,6,0,121_6
2.2,4,4.928650077575684,SET_SWEEP,121,6,0,121_6
2.2,4,4.928650077575684,SET_PASSED,121,6,0,121_6
1.6,3,4.616760429138184,SET_SWEEP,121,6,0,121_6
